"Monday","09:00","12:00","COMP6051 Extra Slot","Millard D E Dr, Tiropanis, T","45 / 2039 (L/R B)","33"

"Tuesday","09:00","11:00","COMP6051 L1","   ","44 / 1041 (L/T A)","18-26, 31-33"

"Wednesday","09:00","10:00","COMP6028 L2","   ","02 / 1039 (L/T K)","18-26, 31-33"

"Wednesday","12:00","13:00","ELEC6103 MSc Tutorials","   ","   ","1-11, 15, 18-26, 31-33"

"Thursday","12:00","13:00","COMP6028 Tut","   ","35 / 1005","18-26, 31-33"

"Thursday","13:00","14:00","COMP6051 L2","Millard D E Dr, Tiropanis, T","06 / 1083 (L/R C)","18-26, 31-33"

"Friday","09:00","10:00","INFO6005 L1","Tarrant D","07 / 3027 (L/R F1)","18-26, 31-33"

"Friday","12:00","13:00","INFO6005 L2","Tarrant D","07 / 3031 (L/R F2)","18-26, 31-33"

"Friday","16:00","17:00","COMP6028 L1","   ","45 / 0045 (L/T 1)","18-26, 31-33"