b,number,lat,lon,east,north,name,site,site_name
http://id.southampton.ac.uk/building/1048,1048,,,,,El Sub Sta adj to B54,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/75C,75C,50.9301743,-1.402665,442074,114694,Highfield Hall Wolfe House,http://id.southampton.ac.uk/site/56,Highfield Hall
http://id.southampton.ac.uk/building/1416,1416,50.9337061,-1.3992198,442313,115089,38 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/20,20,50.9368962,-1.3951265,442598,115446,High Voltage Laboratory,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/29,29,50.9340008,-1.3939798,442681,115125,Graham Hills,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76C,76C,50.937645,-1.377127,443862,115540,Montefiore Hall Block C,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/1051,1051,50.933338,-1.395356,442585,115050,28 University Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1730-22,1730-22,,,,,Erasmus - Flat 22,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/9022,9022,,,,,Container 3 - B21,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1049,1049,,,,,El Sub Sta adj to B31,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/65B,65B,50.9288317,-1.4036629,442005,114544,Burgess,http://id.southampton.ac.uk/site/3,Avenue Campus
http://id.southampton.ac.uk/building/65B,65B,50.9288317,-1.4034949700,442005,114544,Burgess,http://id.southampton.ac.uk/site/3,Avenue Campus
http://id.southampton.ac.uk/building/65B,65B,50.9286570500,-1.4036629,442005,114544,Burgess,http://id.southampton.ac.uk/site/3,Avenue Campus
http://id.southampton.ac.uk/building/65B,65B,50.9286570500,-1.4034949700,442005,114544,Burgess,http://id.southampton.ac.uk/site/3,Avenue Campus
http://id.southampton.ac.uk/building/72A2-L,72A2-L,50.937973,-1.375083,444005,115578,Connaught L (New Quad),http://id.southampton.ac.uk/site/63,Connaught Hall
http://id.southampton.ac.uk/building/46,46,50.9348505,-1.3996014,442285,115216,Physics,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76U,76U,50.9383121,-1.3780779,443794,115614,Montefiore Hall Laundry,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/1730-33,1730-33,,,,,Erasmus - Flat 33,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/1507,1507,50.933605,-1.393915,442686,115081,29 Hartley Avenue,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1402,1402,50.933101,-1.3979888,442400,115022,10 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73D,73D,50.9439382,-1.4024566,442076,116225,Glen Eyre Hall Block D Richard Newitt,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/9044,9044,,,,,NOC Cont 4 - Small boats storage,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/1730-24,1730-24,,,,,Erasmus - Flat 24,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/177,177,,,,,Annexe,http://id.southampton.ac.uk/site/2,Boldrewood Campus
http://id.southampton.ac.uk/building/1730-35,1730-35,,,,,Erasmus - Flat 35,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/72D-N,72D-N,50.938553,-1.375209,443996,115642,Connaught N (New Quad),http://id.southampton.ac.uk/site/63,Connaught Hall
http://id.southampton.ac.uk/building/1730-21,1730-21,,,,,Erasmus - Flat 21,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/94H,94H,50.934078,-1.380648,443618,115141,Classroom,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/1730-20,1730-20,,,,,Erasmus - Flat 20,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/85,85,50.936436,-1.395323,442584,115395,Life Sciences,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1423,1423,50.9340266,-1.3999612,442261,115124,52 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73,73,,,,,Oakhurst Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1730-32,1730-32,,,,,Erasmus - Flat 32,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/72D-P,72D-P,50.938625,-1.374951,444014,115650,Connaught P (New Quad),http://id.southampton.ac.uk/site/63,Connaught Hall
http://id.southampton.ac.uk/building/125,125,,,,,Gamma House,http://id.southampton.ac.uk/site/5,The University of Southampton Science Park
http://id.southampton.ac.uk/building/68-A6,68-A6,,,,,National Oceanography Centre - Block A6,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/99,99,50.961019,-1.4226617,440642,118113,2 Venture Road,http://id.southampton.ac.uk/site/5,The University of Southampton Science Park
http://id.southampton.ac.uk/building/70CC,70CC,50.9412837,-1.4024437,442080,115930,South Hill C,http://id.southampton.ac.uk/site/58,South Hill Hall
http://id.southampton.ac.uk/building/30,30,50.9343082,-1.3944765,442646,115159,Synthetic Chemistry,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76K,76K,50.938484,-1.376944,443874,115633,Montefiore Hall Block K,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/56,56,,,,,Human Performance Laboratory,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1630,1630,50.9369467,-1.393715,442697,115453,185 Broadlands Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/57,57,50.934399,-1.396755,442486,115167,Students' Union Retail Centre,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/9030,9030,,,,,Estates container 1 Rear of B33,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1730,1730,51.0686667,-1.3001172,449135,130159,Erasmus Park,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/76L,76L,50.938629,-1.376306,443919,115650,Montefiore Hall Block L,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/45,45,50.937801,-1.394014,442675,115547,Health Profs & Rehab Sciences,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1730-23,1730-23,,,,,Erasmus - Flat 23,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/58,58,50.936592,-1.398697,442347,115410,Murray,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/81A,81A,50.945967,-1.3907157,442899,116457,Bencraft Court Block A,http://id.southampton.ac.uk/site/62,Bencraft Hall
http://id.southampton.ac.uk/building/1730-34,1730-34,,,,,Erasmus - Flat 34,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/44A,44A,,,,,Geodata Institute,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/13A,13A,,,,,Workshop adjacent to B13,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/15,15,50.9358355,-1.3933722,442722,115329,Wolfson/Rayleigh,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73N-H,73N-H,50.94236,-1.402854,442050,116049,Block H Glen Eyre Hall Old Terrace,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/81B,81B,50.9458051,-1.3904644,442917,116440,Bencraft Court Block B,http://id.southampton.ac.uk/site/62,Bencraft Hall
http://id.southampton.ac.uk/building/1050,1050,50.933235,-1.395323,442587,115039,26 University Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/65A,65A,50.928783,-1.403128,442043,114539,Archaelogy (ex-Crawford),http://id.southampton.ac.uk/site/3,Avenue Campus
http://id.southampton.ac.uk/building/73N-J,73N-J,50.94236,-1.402854,442050,116049,Block J Glen Eyre Hall Old Terrace,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/1612,1612,50.934734,-1.380123,443654,115214,72 Mead Crescent,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/26,26,50.9347143,-1.3941216,442670,115204,Building 26,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/9570,9570,,,,,Tenovus,http://id.southampton.ac.uk/site/18,Southampton General Hospital
http://id.southampton.ac.uk/building/70A,70A,50.941608,-1.4031107,442033,115966,Chamberlain A,http://id.southampton.ac.uk/site/59,Chamberlain Hall
http://id.southampton.ac.uk/building/82A,82A,50.9169714,-1.4077298,441730,113223,Gateley Hall,,
http://id.southampton.ac.uk/building/170,170,,,,,City Gateway C,,
http://id.southampton.ac.uk/building/9591,9591,51.279823,-1.110778,462117,153784,"North Hampshire Hospital, Basingstoke",,
http://id.southampton.ac.uk/building/1506,1506,50.933529,-1.393944,442684,115072,27 Hartley Avenue,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1730-30,1730-30,,,,,Erasmus - Flat 30,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/1415,1415,50.9336731,-1.3991675,442317,115085,36 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1401,1401,50.9330741,-1.3979365,442404,115019,8 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1102,1102,50.9333389,-1.3960392,442537,115050,39 University Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/4,4,50.9360909,-1.3977134,442417,115355,Law,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/9592,9592,51.061089,-1.330204,447034,129296,"Royal Hampshire County Hospital, Winchester",,
http://id.southampton.ac.uk/building/68,68,50.892773,-1.394491,442683,110540,National Oceanography Centre,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/193,193,,,,,USMC Building 1,,
http://id.southampton.ac.uk/building/70D,70D,50.941843,-1.4032263,442024,115992,Chamberlain Dining Room,http://id.southampton.ac.uk/site/59,Chamberlain Hall
http://id.southampton.ac.uk/building/76T,76T,50.939426,-1.376783,443884,115738,Montefiore Hall Block T,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/1505,1505,50.933445,-1.393965,442683,115063,25 Hartley Avenue,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/78A,78A,50.936687,-1.376944,443876,115433,South Stoneham House,http://id.southampton.ac.uk/site/65,Stoneham Hall
http://id.southampton.ac.uk/building/63G,63G,51.0653675,-1.3098995,448453,129785,Graphics Building,http://id.southampton.ac.uk/site/4,Winchester School of Art
http://id.southampton.ac.uk/building/169,169,,,,,City Gateway B,,
http://id.southampton.ac.uk/building/96,96,50.9619135,-1.4233506,440593,118212,3 Venture Road,http://id.southampton.ac.uk/site/5,The University of Southampton Science Park
http://id.southampton.ac.uk/building/70C,70C,50.941536,-1.403592,441999,115957,Chamberlain C,http://id.southampton.ac.uk/site/59,Chamberlain Hall
http://id.southampton.ac.uk/building/36,36,50.934986,-1.395156,442597,115234,Library (inc. blds 10 12 & 14),http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76SC,76SC,50.9380566,-1.3780581,443796,115585,Montefiore Hall Social Centre,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/76W,76W,50.9372773,-1.3779839,443802,115498,Montefiore Hall Block W,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/9043,9043,,,,,NOC Cont 3 -  A3 Large container,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/41,41,50.933559,-1.395301,442589,115075,Early Years Centre,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1422,1422,50.9339817,-1.3998519,442268,115119,50 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/42,42,50.934219,-1.397511,442433,115147,Students' Union/Refectory,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1390,1390,50.933636,-1.400937,442192,115080,1A Oakhurst Road,,
http://id.southampton.ac.uk/building/11,11,,,,,Energy Centre (CHP),http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73F,73F,50.9436793,-1.402203,442094,116196,Glen Eyre Hall Block F Richard Newitt,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/76B,76B,50.9376576,-1.3778009,443814,115541,Montefiore Hall Block B,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/9585,9585,50.9125279,-1.3973994,442460,112735,Royal South Hants,http://id.southampton.ac.uk/site/20,Royal South Hants Hospital
http://id.southampton.ac.uk/building/1107,1107,50.9336275,-1.3962471,442522,115082,47 University Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73R,73R,50.9434354,-1.404631,441924,116168,Beechmount House,,
http://id.southampton.ac.uk/building/9005,9005,,,,,Eng Store - rear of B1602,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76N,76N,50.938763,-1.376751,443887,115664,Montefiore Hall Block N,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/1730-31,1730-31,,,,,Erasmus - Flat 31,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/151,151,50.9311694,-1.3838409,443396,114816,Unit 12 Bindery,http://id.southampton.ac.uk/site/45,Belgrave Industrial Site
http://id.southampton.ac.uk/building/72A1-B,72A1-B,50.937683,-1.374393,444054,115546,Connaught B (Old Quad),http://id.southampton.ac.uk/site/63,Connaught Hall
http://id.southampton.ac.uk/building/1404,1404,50.9331759,-1.3981409,442389,115031,14 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/94J,94J,,,,,Store 2,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/25,25,50.9347702,-1.3934585,442717,115211,EScience Building,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73N-A,73N-A,50.94236,-1.402854,442050,116049,Block A Glen Eyre Hall Old Terrace,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/37,37,50.934147,-1.395696,442560,115140,George Thomas,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76M,76M,50.938606,-1.377389,443843,115647,Montefiore Hall Block M,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/2,2,50.9362789,-1.3981275,442387,115376,Building 2,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1405,1405,50.9332298,-1.3982264,442383,115037,16 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76Y,76Y,,,,,Montefiore Cycle Store,http://id.southampton.ac.uk/site/65,Stoneham Hall
http://id.southampton.ac.uk/building/73B4,73B4,50.94405,-1.400848,442189,116238,Glen Eyre Hall Bungalow 4,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/73X-S,73X-S,50.9427239,-1.4021625,442098,116090,Block S Glen Eyre Hall New Terrace,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/1580,1580,50.928944,-1.401279,442173,114558,65 Heatherdeane Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1730-09,1730-09,,,,,Erasmus - House 09,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/81C,81C,50.945606,-1.390787,442895,116417,Bencraft Court Block C,http://id.southampton.ac.uk/site/62,Bencraft Hall
http://id.southampton.ac.uk/building/95,95,,,,,Old Sports Pavilion Wide Lane,http://id.southampton.ac.uk/site/39,Recreation Facilities at Wide Lane
http://id.southampton.ac.uk/building/1406,1406,50.9332568,-1.3982834,442379,115040,18 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/94A,94A,50.934563,-1.380039,443660,115195,Boat House 1,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/9011,9011,50.950558,-1.365365,444676,116983,Changing Room 1 Wide Lane,http://id.southampton.ac.uk/site/39,Recreation Facilities at Wide Lane
http://id.southampton.ac.uk/building/94G,94G,50.934058,-1.380509,443628,115139,Workshop,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/73H,73H,50.9441011,-1.4020052,442108,116243,Glen Eyre Hall Block H Richard Newitt,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/9012,9012,50.950558,-1.365365,444676,116983,Changing Room 2 Wide Lane,http://id.southampton.ac.uk/site/39,Recreation Facilities at Wide Lane
http://id.southampton.ac.uk/building/72A1-C,72A1-C,50.937595,-1.374334,444058,115536,Connaught C (Old Quad),http://id.southampton.ac.uk/site/63,Connaught Hall
http://id.southampton.ac.uk/building/52,52,50.9358682,-1.3988324,442338,115330,Turner Sims Concert Hall,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/81D,81D,50.9458246,-1.3909756,442881,116441,Bencraft Court Bar,http://id.southampton.ac.uk/site/62,Bencraft Hall
http://id.southampton.ac.uk/building/2A,2A,50.9364286,-1.3975235,442430,115393,Building 2 Annexe,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/9048,9048,,,,,NOC Cont 8 - Aquarium 491 Container 2,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/1730-19,1730-19,,,,,Erasmus - Flat 19,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/77A,77A,,,,,St Margaret's Bin Store,,
http://id.southampton.ac.uk/building/44B,44B,,,,,Potting Shed behind B44,http://id.southampton.ac.uk/site/1,Highfield Campus
